sep=,
DeviceTag:,3
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2024-09-17_16:36:35_000 GMT+8
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
91,3225237937,-0.049669,-0.773831,-0.001605,-0.631440,9.67478847503662,0.79730433225632,-1.92068254947662,-0.79399359226227,-0.70632141828537,0.02130336128175
92,3225254604,-0.049784,-0.773890,-0.001526,-0.631359,9.78903865814209,0.83286637067795,-2.04047417640686,-1.01031219959259,-0.64138686656952,0.12269763648510
93,3225271271,-0.049924,-0.773917,-0.001441,-0.631315,9.70700454711914,0.79747599363327,-2.05523109436035,-1.25726342201233,-0.31146323680878,0.07592245191336
94,3225287938,-0.049956,-0.773950,-0.001399,-0.631272,9.60678005218506,0.80270475149155,-2.02994108200073,-0.41443908214569,-0.30557230114937,0.30297899246216
95,3225304605,-0.049999,-0.773966,-0.001365,-0.631249,9.63820743560791,0.85035359859467,-1.99484586715698,-0.93693822622299,-0.16906945407391,0.31432548165321
96,3225321272,-0.050091,-0.773984,-0.001285,-0.631220,9.66895771026611,0.75323498249054,-1.95521247386932,-0.92297929525375,-0.18663977086544,0.25189450383186
97,3225337939,-0.050076,-0.774012,-0.001322,-0.631186,9.71831798553467,0.70169836282730,-1.94935131072998,-0.00951511785388,-0.22883668541908,0.12315227091312
98,3225354606,-0.050051,-0.774035,-0.001390,-0.631160,9.72992706298828,0.74242061376572,-1.98266363143921,0.22041647136211,-0.15476471185684,-0.00307352398522
99,3225371273,-0.050090,-0.774053,-0.001386,-0.631135,9.70505428314209,0.77231413125992,-1.99393224716187,-0.42463290691376,-0.14618448913097,0.10211142897606
100,3225387940,-0.050156,-0.774065,-0.001386,-0.631115,9.66373062133789,0.74587166309357,-2.00604844093323,-0.55391305685043,-0.08956760913134,-0.03735611587763
101,3225404607,-0.050114,-0.774070,-0.001507,-0.631112,9.67508506774902,0.78546029329300,-1.99932157993317,0.55416274070740,0.06525475531816,-0.20575961470604
102,3225421274,-0.050031,-0.774075,-0.001665,-0.631112,9.66544437408447,0.78736114501953,-1.96969115734100,0.96793597936630,0.10136867314577,-0.23071920871735
103,3225437941,-0.049923,-0.774090,-0.001831,-0.631102,9.63792610168457,0.80374854803085,-1.88813030719757,1.08554947376251,0.00553874671459,-0.15788950026035
104,3225454608,-0.049893,-0.774125,-0.001928,-0.631061,9.66408538818359,0.72202551364899,-1.91483724117279,0.52899825572968,-0.25444936752319,-0.17311622202396
105,3225471275,-0.049913,-0.774161,-0.001973,-0.631015,9.66491508483887,0.79784476757050,-1.95565629005432,-0.00189533957746,-0.31901898980141,-0.10571641474962
106,3225487942,-0.050049,-0.774202,-0.001863,-0.630955,9.70310211181641,0.78693169355392,-1.97793304920197,-0.92212760448456,-0.43520456552505,0.13939709961414
107,3225504609,-0.050171,-0.774248,-0.001760,-0.630889,9.71312999725342,0.84531778097153,-1.97103977203369,-1.19465959072113,-0.50939178466797,0.23084726929665
108,3225521276,-0.050237,-0.774286,-0.001731,-0.630837,9.70211124420166,0.81597608327866,-1.97011470794678,-0.62149214744568,-0.38935148715973,0.10109973698854
109,3225537943,-0.050232,-0.774330,-0.001757,-0.630783,9.64865398406982,0.84346634149551,-1.99643921852112,0.00964958406985,-0.39639493823051,0.10847617685795
